,valor_venda
0,473522.1
1,454560.77
2,458636.02
3,314165.62
4,583415.96
5,637110.49
6,693068.99
7,272973.41
8,280867.27
9,719222.23
10,512361.73
11,360145.23
12,651681.2
13,262900.84
14,266640.05
15,414392.36
16,457511.74
17,531679.27
18,332925.72
19,587578.95
20,478479.17
21,585091.98
22,312788.54
23,340970.38
24,719946.26
25,777935.8
26,614582.18
27,498599.0
28,525759.19
29,652892.07
30,356437.41
31,660582.72
32,280653.97
33,728874.67
34,248542.53
35,294343.39
36,452338.81
37,748526.06
38,272594.79
39,500902.55
40,726332.61
41,372445.13
42,687589.58
43,486811.72
44,677695.45
45,462629.93
46,692645.99
47,385663.56
48,618877.15
49,689555.55
50,583380.54
51,581215.07
52,677039.62
53,535141.35
54,572428.83
55,633451.37
56,279492.28
57,243712.75
58,766750.07
59,562329.3
60,594802.17
61,328013.55
62,652136.74
63,573939.89
64,602994.82
65,433411.0
66,412338.15
67,459418.42
68,408565.72
69,311690.0
70,718967.41
71,379880.02
72,709066.91
73,673427.14
74,272971.78
75,239879.4
76,532553.25
77,597441.59
78,291771.31
79,503636.77
80,305838.39
81,255086.05
82,397018.05
83,473675.07
84,687035.61
85,591705.37
86,554812.04
87,331482.43
88,505100.41
89,744612.92
90,455597.63
91,410593.89
92,260479.74
93,499114.56
94,554494.23
95,565730.17
96,754353.34
97,271284.19
98,391900.04
99,398325.04
100,682088.31
101,354772.3
102,247848.01
103,441142.3
104,381697.77
105,564932.39
106,465952.62
107,770586.97
108,420889.62
109,791899.42
110,260862.04
111,572000.82
112,381467.76
113,616528.99
114,534659.73
115,679612.13
116,723580.03
117,285028.57
118,755306.53
119,281581.17
120,429931.29
121,389050.3
122,757890.63
123,457932.43
124,742996.13
125,311668.03
126,795581.41
127,553346.0
128,238307.86
129,603336.74
130,589677.75
131,354924.65
132,721066.59
133,790740.12
134,546520.1
135,685020.38
136,618223.17
137,782036.67
138,631827.77
139,553819.62
140,573603.88
141,540095.7
142,398020.74
143,778306.42
144,314649.93
145,339786.57
146,741519.12
147,570036.98
148,395104.01
149,472965.23
150,794113.41
151,508609.0
152,715799.62
153,390605.35
154,643602.2
155,297777.83
156,705789.68
157,552645.73
158,650311.28
159,472825.21
160,319281.64
161,715822.03
162,420759.52
163,663025.77
164,552978.46
165,467993.2
166,302543.7
167,369463.15
168,666076.62
169,282488.89
170,752115.86
171,310844.19
172,507417.72
173,469751.04
